comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
Le solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.7286081944986885,0.9315558376739718,20.403818,25.714212,-7.641799807548523,-6.590027570724487
Le Solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.0554944678388114,-1.2271794126458144,20.404398,25.713573,-7.6084758043289185,-6.642295837402344
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.0608024416167283,1.527691581432677,20.403673,25.714457,-7.655303716659546,-6.636909008026123
le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.0222972594322295,-0.6410825413613974,20.40407,25.714643,-7.633163690567017,-6.642343103885651
Le solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.47378729519004315,0.5320301388344401,20.40351,25.715015,-7.605195999145508,-6.559066951274872
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.7497819626143848,2.3430444593580644,20.403402,25.714357,-7.672862648963928,-6.571826636791229
le solaire ;,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.9841770814733984,1.0493711382709936,20.40385,25.713959,-7.578629493713379,-6.594564735889435
le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.47433837217938507,-0.18356102344042913,20.404528,25.714334,-7.651807069778442,-6.558057963848114
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.1355532529055843,-1.0619906813079987,20.403435,25.713985,-7.58008074760437,-6.613937675952911
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.1639514439633337,-0.8417464009513382,20.403702,25.713934,-7.587819695472717,-6.573404133319855
le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.83380056268418,0.02740613269163394,20.404099,25.714157,-7.632386565208435,-6.61129355430603
le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.4370371253535967,-1.0485747431103336,20.404846,25.71404,-7.615702390670776,-6.594445466995239
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.42676350681668823,1.0582134312910076,20.403624,25.71398,-7.682379603385925,-6.588773787021637
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.5397145434416488,0.7299686688544221,20.403717,25.714144,-7.629222750663757,-6.55465030670166
"développer une énergie propre telles l'énergie solaire, la géothermie, les barrages ,la force des vagues","panneaux solaire ,géothermie",1196,0.13346724695904474,-1.411741263319102,0.07906471441480624,1.4738047,5.052584,-8.090915203094482,-5.860801473259926
installation de panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.968346166281492,0.9746381192943551,23.83253,10.484196,-10.17908501625061,-4.921780943870544
Installation de panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.4428366723504276,1.0488435489547556,23.832527,10.484203,-10.179060816764832,-4.921766638755798
"favoriser la géothermie, le chauffage solaire,","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.5408894979053683,-0.2955358482761359,17.739847,30.679102,-7.87516987323761,-7.42428183555603
"Favoriser l'installation de panneaux chauffe-eau solaires, développer les réseaux de chauffage fondés sur la géothermie.","panneaux solaire ,géothermie",1196,0.13346724695904474,-1.1665292475915539,1.0537236818960938,25.602169,9.619098,-9.713356673717499,-6.00126469891984
Panneaux photovoltaïques ou solaire thermique.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.5141442707874535,2.6229814379392447,34.17641,16.955482,-8.90082772821188,-3.7941858768463135
production d'électricité par éolienne et panneaux solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.3997035617317245,0.2538688205541852,6.9403644,5.548925,-8.498978316783905,-5.841840401291847
Panneaux solaires et énergie éolienne,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.25332226396771856,0.14567455507078883,17.605734,9.950385,-9.919610261917114,-4.628062844276428
"Solaire;, thermodynamique","panneaux solaire ,géothermie",1196,0.13346724695904474,0.19715446336850748,0.8997561605513827,2.8853369,0.502641,-8.529319167137146,-6.161734983325005
installer panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.07143753301700514,0.9719390859770145,21.567318,15.59539,-9.963735103607178,-5.381604909896851
Panneaux solaires sur la terrasse de l'immeuble,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.0321701415598041,0.3766955327150192,16.180677,17.9616,-9.139499828219414,-4.639405965805054
installation aidée pour des panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.8584319439101744,1.842819200794469,22.84627,9.848652,-10.083645582199097,-5.039377748966217
Chauffage solaire et/ou géothermie,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.7743408100964695,0.9035255274104855,13.740886,29.996716,-8.31221866607666,-7.709049224853516
"mettre en place une incitation sur le solaire, la géothermie?","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.005165507083966814,1.2715359913887507,11.944583,7.0232315,-9.92453134059906,-6.753385484218597
"Avoir des aides pour installer un chauffage par géothermie, des panneaux solaire pour l'eau chaude et l'électricité, etc.","panneaux solaire ,géothermie",1196,0.13346724695904474,1.2321141405115328,1.0137392411734363,9.631965,17.882639,-9.327847868204117,-6.512979805469513
installer des panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.13004527618437442,-0.6488342348759722,21.514513,15.626985,-9.963531076908112,-5.3814409375190735
Solaire et étudier la géothermie,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.32397193370810573,0.2860728451415099,13.50614,30.350094,-8.409543097019196,-7.742480039596558
Panneaux solaires ou photovoltaïques.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.7054742441272269,-0.921706408420537,34.742813,17.49758,-9.04667279496789,-3.8585574626922607
"géothermie, chauffe eau solaire, photovoltaïques, éolien","panneaux solaire ,géothermie",1196,0.13346724695904474,0.6785456376910858,-3.869069180208051,-13.633997,23.226206,-8.70808494091034,-6.928311765193939
"électrique solaire, géothermie","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.9381285941434104,0.24673224103264862,13.007077,29.763132,-8.346309304237366,-7.800565242767334
Mettre en place des panneaux solaires sur la toiture.,"panneaux solaire ,géothermie",1196,0.13346724695904474,2.1862235143916315,0.6276398838686231,13.882421,6.236503,-10.057808876037598,-6.513807237148285
Developper l’energie Solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.3440343257639704,0.0717154978343574,3.7677968,10.956108,-7.561866879463196,-6.138951376080513
"eau chaude solaire plus simple à mettre en place, panneaux solaires plus abordables","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.09596760435003515,-0.5471458795620968,8.267707,18.746157,-9.374408185482025,-6.571855962276459
"La géothermie , panneau solaire, ballon d'eau chaude solaire. Un crédit d'impôt.","panneaux solaire ,géothermie",1196,0.13346724695904474,0.2716522827776326,0.06579899488116014,9.9192,17.19424,-9.184669151902199,-6.610404431819916
panneaux solaire thermiques,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.447139918459507,-1.66554610338725,23.915148,24.026402,-8.539956450462341,-4.339987635612488
L'énergie solaire photovoltaïque,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.0586347842293964,1.336293890723305,2.504855,8.639439,-7.719850063323975,-5.826367869973183
solaire ou échangeur,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.12131304219644344,-1.377897361021585,20.779375,28.394968,-7.525530457496643,-6.808518171310425
Développer les panneaux solaires sur les toits de Paris ! Aider à la recherche puis à la création d'entreprises françaises pour la fabrication de panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.5567784385940517,-0.06420911356912372,27.053154,5.1586266,-9.29930493235588,-5.315892517566681
installer des panneaux solaires par exemple,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.012205478678153,0.9131911508738084,20.194794,14.759995,-9.959931790828705,-5.528570085763931
Solaire (à vérifier),"panneaux solaire ,géothermie",1196,0.13346724695904474,0.48801656386120107,-1.076344359280235,2.9851875,0.59904104,-8.523372620344162,-6.159977272152901
Instaurer la mise en place de panneaux solaire à des tarif abordables...,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.24323923143893414,0.015902033888687883,2.814666,15.936827,-10.188641548156738,-6.977196097373962
